name,playcount,listeners,mbid,url,tags
Tom Petty and The Heartbreakers,31000385,1616511,f93dbc64-6f08-4033-bcc7-8a0bb4689849,https://www.last.fm/music/Tom+Petty+and+The+Heartbreakers,['classic rock']
1NONLY,19533784,459703,,https://www.last.fm/music/1NONLY,['american']
Cordae,16002073,588976,,https://www.last.fm/music/Cordae,['rap']
Mt. Joy,12138901,494362,,https://www.last.fm/music/Mt.+Joy,['folk']
Ella Fitzgerald,44431979,2424972,54799c0e-eb45-4eea-996d-c4d71a63c499,https://www.last.fm/music/Ella+Fitzgerald,['jazz']
La Roux,39657333,1874889,88d1360a-bc2d-47df-90d1-d2de285560aa,https://www.last.fm/music/La+Roux,['electropop']
Armin van Buuren,53378594,1546436,477b8c0c-c5fc-4ad2-b5b2-191f0bf2a9df,https://www.last.fm/music/Armin+van+Buuren,['trance']
Skepta,25983828,797699,38474d18-9204-4f60-a137-1fcc6750b869,https://www.last.fm/music/Skepta,['Grime']
Lesley Gore,7225210,781193,7f565c58-cf5d-441b-821f-c314ddf60c99,https://www.last.fm/music/Lesley+Gore,['60s']
Dazey and the Scouts,6207189,294347,,https://www.last.fm/music/Dazey+and+the+Scouts,['queercore']
Mika,53712041,2213279,e4914285-d20d-4fc2-ae32-42cba8aeeed0,https://www.last.fm/music/Mika,['pop']
EKKSTACY,11321926,617928,,https://www.last.fm/music/EKKSTACY,['seen live']
Eric Clapton,64933956,2948635,618b6900-0618-4f1e-b835-bccb17f84294,https://www.last.fm/music/Eric+Clapton,['classic rock']
Whirr,17788964,469396,3474a13f-899f-40ec-9d5c-e44e41a02900,https://www.last.fm/music/Whirr,['shoegaze']
Paris Paloma,5884692,351115,,https://www.last.fm/music/Paris+Paloma,['british']
Good Charlotte,58417188,2269334,b267ca80-034e-4dc1-9ed4-ec45f1fed41d,https://www.last.fm/music/Good+Charlotte,['punk rock']
Will Smith,14534510,1521156,a663d7d0-754b-40e2-9ea3-3c6c39fd5937,https://www.last.fm/music/Will+Smith,['Hip-Hop']
Caetano Veloso,35506663,884198,f07dbc2f-317b-470f-bad4-5f1b0eb6faf1,https://www.last.fm/music/Caetano+Veloso,['mpb']
Turnstile,29502994,551445,7b748dac-f5ce-45a7-9b95-c1d8b5b013ed,https://www.last.fm/music/Turnstile,['hardcore']
Yes,36728667,1602544,c1d4f2ba-cf39-460c-9528-6b827d3417a1,https://www.last.fm/music/Yes,['Progressive rock']
Nessa Barrett,18049455,609050,,https://www.last.fm/music/Nessa+Barrett,['pop']
Kevin Abstract,27370735,746582,,https://www.last.fm/music/Kevin+Abstract,['Hip-Hop']
nettspend,11158146,141963,,https://www.last.fm/music/nettspend,['cloud rap']
Kool & The Gang,16512603,1689004,2469950a-f0ca-425a-bfbc-baf55ea3afde,https://www.last.fm/music/Kool+&+The+Gang,['funk']
Dean Martin,30461483,2264931,5e6c760b-42e0-4df4-a221-0269355da00a,https://www.last.fm/music/Dean+Martin,['jazz']
Steve Miller Band,17842181,1504491,e57f0cac-4f56-473c-8d7e-d93f753fd586,https://www.last.fm/music/Steve+Miller+Band,['classic rock']
Mild High Club,16329364,821554,,https://www.last.fm/music/Mild+High+Club,['psychedelic']
Norah Jones,80916095,2547884,985c709c-7771-4de3-9024-7bda29ebe3f9,https://www.last.fm/music/Norah+Jones,['jazz']
Seafret,13477978,806563,,https://www.last.fm/music/Seafret,['indie']
Wilco,80097698,1692800,9e53f84d-ef44-4c16-9677-5fd4d78cbd7d,https://www.last.fm/music/Wilco,['Alt-country']
Bruno Major,18522884,760831,01962e70-c4a6-440d-81c4-b5eb9de7b299,https://www.last.fm/music/Bruno+Major,['soul']
Johann Sebastian Bach,85282559,2236077,24f1766e-9635-4d58-a4d4-9413f9f98a4c,https://www.last.fm/music/Johann+Sebastian+Bach,['Classical']
Sting,49555648,2275558,7944ed53-2a58-4035-9b93-140a71e41c34,https://www.last.fm/music/Sting,['rock']
Destroy Boys,13699152,501713,,https://www.last.fm/music/Destroy+Boys,['punk']
Plain White T's,30628835,2094298,49576e42-fbbd-4d73-968d-93c8dcf7f065,https://www.last.fm/music/Plain+White+T%27s,['indie']
Corinne Bailey Rae,22186945,1748740,bc85c6f6-6b06-44c1-8754-ef32c1e6b824,https://www.last.fm/music/Corinne+Bailey+Rae,['soul']
Adi Oasis,1328778,274534,,https://www.last.fm/music/Adi+Oasis,['funk']
Consequence,2444384,438592,c5757eeb-5ee7-4ac6-8d29-81a8c6b10cdc,https://www.last.fm/music/Consequence,['Hip-Hop']
Between Friends,12513639,576852,,https://www.last.fm/music/Between+Friends,['indie pop']
"Grover Washington, Jr.",8280472,932694,c60e178f-36f1-4169-9c03-84addbdbf104,"https://www.last.fm/music/Grover+Washington,+Jr.",['jazz']
Two Feet,16513256,838472,,https://www.last.fm/music/Two+Feet,['indie']
Arca,53430441,623638,f7625f34-1799-42a4-a1c6-22b5377c767b,https://www.last.fm/music/Arca,['electronic']
Margo Guryan,5410971,419248,cd2867c5-c2f0-4f86-b8aa-a7be324cb916,https://www.last.fm/music/Margo+Guryan,['60s']
Del Water Gap,9922633,459414,5f606b3d-fab7-4d39-bcdb-f5d42edae945,https://www.last.fm/music/Del+Water+Gap,['folk']
Cake,54555291,2021466,fa7b9055-3703-473a-8a09-adf2fe031a24,https://www.last.fm/music/Cake,['alternative']
John Summit,5029246,324270,,https://www.last.fm/music/John+Summit,['House']
Ludmilla,35453079,393100,ecd5421a-864f-494a-adc4-a14dd9f0336e,https://www.last.fm/music/Ludmilla,['funk']
New West,7166552,544193,,https://www.last.fm/music/New+West,['seen live']
mc saci,4848504,217692,,https://www.last.fm/music/mc+saci,['funk']
MoneyBagg Yo,15115033,552051,,https://www.last.fm/music/MoneyBagg+Yo,['rap']
FINNEAS,22865972,811386,,https://www.last.fm/music/FINNEAS,['indie pop']
Carrie Underwood,29978310,1528784,70f0e309-5418-49b6-a130-666e2f76eecd,https://www.last.fm/music/Carrie+Underwood,['country']
Cris Mj,8894736,238512,,https://www.last.fm/music/Cris+Mj,['Hip-Hop']
Sampha,16301496,578552,130c2184-14f2-4180-a216-04b5a333be57,https://www.last.fm/music/Sampha,['electronic']
Justin Hurwitz,17482637,720668,,https://www.last.fm/music/Justin+Hurwitz,['jazz']
Nxworries,11029268,422759,,https://www.last.fm/music/Nxworries,['soul']
VIOLENT VIRA,6021071,252409,,https://www.last.fm/music/VIOLENT+VIRA,['alternative']
PJ Harvey,84505763,1880691,e795e03d-b5d5-4a5f-834d-162cfb308a2c,https://www.last.fm/music/PJ+Harvey,['female vocalists']
Stealers Wheel,7062420,968705,63200203-e2c6-4081-8e0d-00c9732c6b6f,https://www.last.fm/music/Stealers+Wheel,['classic rock']
Rascal Flatts,19194122,1369858,6e0ae159-8449-4262-bba5-18ec87fa529f,https://www.last.fm/music/Rascal+Flatts,['country']
Sleeping at Last,29612008,1055663,72e8351a-3410-4fdb-898e-796c1ac4cb53,https://www.last.fm/music/Sleeping+at+Last,['indie']
NCT U,31086491,406070,,https://www.last.fm/music/NCT+U,['k-pop']
MAMAMOO,34957370,559572,fb588f59-af1a-493a-9508-ed487caa2a11,https://www.last.fm/music/MAMAMOO,['k-pop']
VIVIZ,11409544,279479,,https://www.last.fm/music/VIVIZ,['k-pop']
Haley Heynderickx,10749402,529752,,https://www.last.fm/music/Haley+Heynderickx,['folk']
WAYV,28683493,390105,,https://www.last.fm/music/WAYV,['C-pop']
mxmtoon,19473123,758400,,https://www.last.fm/music/mxmtoon,['indie']
The Wanted,19226360,1334331,bcb16f22-b064-4b80-b3a3-c824bccdbab1,https://www.last.fm/music/The+Wanted,['pop']
Stereolab,32674579,992017,f1df0431-9250-4ec8-95d8-f19ce7cf7fb6,https://www.last.fm/music/Stereolab,['electronic']
KYLE,13557907,881235,75b7ef51-0b2c-4e86-978a-b8a98095eed7,https://www.last.fm/music/KYLE,['Hip-Hop']
Billie Holiday,41376674,1967363,d59c4cda-11d9-48db-8bfe-b557ee602aed,https://www.last.fm/music/Billie+Holiday,['jazz']
Frankie Cosmos,16828893,816441,e49dd402-2297-4192-a359-48b233d39cd4,https://www.last.fm/music/Frankie+Cosmos,['indie pop']
Legião Urbana,32182582,559870,47685be0-926f-4be9-b1ae-e32da47a3b99,https://www.last.fm/music/Legi%C3%A3o+Urbana,['rock']
Kodaline,24783127,1212904,74aab3b7-93a5-473c-a729-f975234c58b6,https://www.last.fm/music/Kodaline,['indie rock']
Hailee Steinfeld,20863721,1018760,,https://www.last.fm/music/Hailee+Steinfeld,['pop']
